Field;Year;Pgrain;Treatment
High;1995;3,3;Control
High;1995;3,9;P
High;1995;3,7;P6
High;1996;3,7;Control
High;1996;3,7;P
High;1996;3,6;P6
High;1997;3,7;Control
High;1997;3,7;P
High;1997;3,8;P6
High;1998;3,6;Control
High;1998;4,2;P
High;1998;4,4;P6
High;2000;2,8;Control
High;2000;3,6;P
High;2000;3,8;P6
High;2002;4,974;Control
High;2002;6,336;P
High;2002;6,979;P6
High;2003;3,049;Control
High;2003;4,72;P
High;2003;3,258;P6
High;2004;2,476;Control
High;2004;3,013;P
High;2004;2,785;P6
High;2005;3,628;Control
High;2005;4,272;P
High;2005;4,256;P6
High;2006;3,227;Control
High;2006;4,398;P
High;2006;3,884;P6
High;2007;3,207;Control
High;2007;3,254;P
High;2007;3,413;P6
High;2008;3,895;Control
High;2008;4,551;P
High;2008;4,544;P6
High;2009;3,546;Control
High;2009;3,925;P
High;2009;2,917;P6
High;1999;3,6;Control
High;1999;4;P
High;1999;3,6;P6
Low;1968;2,9;Control
Low;1968;3,1;P
Low;1968;3,4;P6
Low;1969;3,5;Control
Low;1969;4;P
Low;1969;3,8;P6
Low;1970;4;Control
Low;1970;4,1;P
Low;1970;4;P6
Low;1971;4,6;Control
Low;1971;4,7;P
Low;1971;4,7;P6
Low;1972;3,5;Control
Low;1972;3,8;P
Low;1972;3,7;P6
Low;1995;2,9;Control
Low;1995;2,9;P
Low;1995;3,2;P6
Low;1996;3,6;Control
Low;1996;3,7;P
Low;1996;3,9;P6
Low;1997;3,3;Control
Low;1997;3,5;P
Low;1997;3,6;P6
Low;1998;3,1;Control
Low;1998;4;P
Low;1998;4,2;P6
Low;1999;3,1;Control
Low;1999;3,5;P
Low;1999;3,5;P6
Low;2000;3,2;Control
Low;2000;3,9;P
Low;2000;3,9;P6
Low;2001;3,284;Control
Low;2001;3,649;P
Low;2001;3,704;P6
Low;2004;2,828;Control
Low;2004;3,104;P
Low;2004;2,938;P6
Low;2005;2,59;Control
Low;2005;3,121;P
Low;2005;3,145;P6
Low;2006;2,845;Control
Low;2006;3,435;P
Low;2006;3,87;P6
Low;2007;3,116;Control
Low;2007;3,314;P
Low;2007;3,337;P6
Low;2008;3,207;Control
Low;2008;4,063;P
Low;2008;3,922;P6
Low;2009;3,133;Control
Low;2009;3,806;P
Low;2009;3,73;P6
Low;2010;3,126;Control
Low;2010;3,777;P
Low;2010;3,609;P6
